,id,text,lang,is_retweet
371024,1261497326633398272,"i totally understand the desperation and strong belief to speed things up, we should also think of the unseen enemy and mutation,use distancing and masks as safety, everyone absolutely has every reason to be passionate about the way they feel covid-19 isn’t gone so protect others",en,False
126301,1261461812844785665,"so, lemmegetthisstraight she's claiming that obama unmasked flynn thus making him more likely to get covid-19? #stupidasshitgate!",en,False
113398,1261460209895014401,"severe acute respiratory syndrome coronavirus 2, shortened to sars-cov-2, is actually the virus that causes covid-19 (the disease).",en,False
2212189,1261746219652714498,"your own source, fake news cnn, reports deaths over a year were about 13k. we had that in less than one month with covid. 85k and climbing with stay in place and masks. sure, it's the flu. keep repeating it to yourself.",en,False
1281894,1261644202380673024,this is what happening in ap. he was a prestigious doctor who raises voice against ap govt for not providing ppe kits as required in helping covid patients!! is this a democratic way to treat him in such a way !! plz help ap. #tdptwitter,en,False
947762,1261597666435268608,#nhs #ppe #chaos drivers tell of chaos at uk's privately run ppe stockpile,en,False
1816958,1261702658714488832,i am sure you will never actually see this message but i have to commend you on standing up against racial insensitivity & being a role model about the coronavirus!!! #realmenwearmasks,en,False
434317,1261506574675255296,"but what happened to separating church and state? i don’t want to be that guy, i think religion is great practiced privately and properly but this was a government run setting? i mean presidents still swear in on the bible so i guess that’s a wash.",en,False
907459,1261590677097517058,"covid19 from the family of corona will not go so we will have to live with it so wear mask compusulory as it is difficult to find vaccine.#coronaupdatesinindia ,#coronavirus ,#covid19pandemic ,#cbseboardexams2020",en,False
2683589,1261807889636704256,how many tests were done??? % going down hospitals empty plenty of ppe. open the city up mayor slow traffic for a slow walk to death for la,en,False
60105,1261453677669253121,"drs are masked. someone there is positive. trump i bet, or azar",en,False
2667123,1261805606824001538,"we shouldn’t be “easing” the lockdown until the health service has had a chance to recover and restock their resources. with over a hundred staff fatalities, a continuing lack of ppe suplies, plus mental and physical exhaustion, this is too soon to encourage a second wave.",en,False
146598,1261469177384038401,"with 4% of the world population, we have 28% of the world's covid deaths. we still don't have adequate testing or ppe. 45 and his administration were sending our ppe to china in january.",en,False
1052561,1261614717388427264,"the bottom line is...if hospitals are still a hotspot, staff are getting ill then what the hell do you expect in a care home with downgraded ppe, training ratio of staff per sick patient....covid patients should never have been there.",en,False
588681,1261532408182181888,"i'm not allowed to wear scrubs to work (because we're trying to maintain a professional environment or something, idk). we are screening everyone so our clinic is ""low risk."" asymptomatic carriers concern me and i can't decide if i should push harder for scrubs or not",en,False
682510,1261549748764491776,"irresponsible and down right wrong how many times has this happened during this crisis. nhs should be held accountable knowing how it can spread they keep on about how much ppe they need, but obviously didn't care that the care home wasn't equipped for looking after covid patient",en,False
638561,1261541632878489602,"#advice for #nursing mothers. if you are sick and choose to breastfeed, remember to adhere to following guidelines: maintain strict hygiene & wash your hands before each feeding wear a face mask while breastfeeding & handling baby pump or express breastmilk... #covid19",en,False
124013,1261461531427958784,face mask is meated #คั่นกูตอนจบ #coronavirus #technicalguruji #cashappinbio #the1975 #지은아_스물에잇번째_생일축하해 #abiior,en,False
2624992,1261799890453180417,this friday we were on a united flight from lax to ewr. some members of the cabin crew took of their facemaks every now and then while serving in the cabin and also having long conversations without the mask! respect? poor discipline!,en,False
1025240,1261610567443324929,"question: if there is pre-symptomatic spread and people seem most contagious at the start of covid-19, who does who only recommend facemasks for those who are sick?",en,False
1575585,1261677665838264326,answer to why can't potential coronavirus patients be forced to wear orange shirts saying they are infected to alert communities? by ashwin vijay,en,False
1246080,1261640231717163008,just 230 cases in europe? and no proof it’s even related to covid? i think that mask is cutting off the oxygen to your brain.,en,False
445747,1261508299968483328,dr airlines plan to make crew members wear ppes once flights resume via opindia_com,en,False
684771,1261550164843458560,"these parents endangering their children while a global pandemic wages against humanity. these people not wearing masks, not social distancing and spewing hate at media. millions of americans are doing their patriotic duty to stay home to slow the spread of sars-coronavirus-2.",en,False
1156891,1261629402321948672,"i'm sick of this narrative that taking precautions against covid-19 is ""living in fear"", it's not fear, it's sensible risk reduction. you don't complain that it's ""living in fear"" when you're told not to drink drive or to wear a seat belt",en,False
1091475,1261620505594998786,"did you know that for every non-medical mask sold, teepublic will donate one medical grade mask to direct relief? visit our teepublic store select your favourite design and get your mask! #mask #teepublic #directrelief #donations #covid_19 #coronavirus",en,False
2086966,1261731850730369024,the conservative not wearing masks should all be waving signs: “give me liberty or give me death! or maybe both!”,en,False
1521701,1261672063636434944,"even adjusting for population, the japanese death rate is a mere 2% of america’s. how does japan do it? nearly everyone there is wearing a mask.",en,False
378854,1261498423452282887,so children aren’t allowed to play team sports but the lakers can have practice. will they be wearing masks? so when you say things won’t get back to normal you mean just not for the peasants of la.,en,False
2089007,1261732080083484673,trump goes everywhere with no mask and his old ass has zero signs of covid.,en,False
2285361,1261754705484619777,silence fell as the night grew weary. all that was left were empty seats and echoes of the chattering of people that were no more. #coronavirus,en,False
1998305,1261722066774081537,"why are we being ordered to wear masks when the n95 mask is rated to stop particles as small as .3 microns, but the particles of the covid 19 are .125 microns on average. where is the protection?",en,False
1616172,1261681929931427841,"via @breitbartnewssanta ana, california, is experiencing a surge in crime as suspects exploit a national recommendation to wear masks to prevent the spread of the chinese coronavirus.",en,False
945650,1261597326042415104,"you allowed covid-positive patients to be discharged from hospital to care homes, there to spread the virus to vulnerable residents and staff. staff without enough ppe. your actions have led to 1000s of unnecessary deaths in care homes. just for once - apologize.",en,False
1464556,1261663777331675137,"me: all well and good, but no mention of masks.",en,False
308528,1261488923315974144,"who’s enforcing mask rules? often retail workers, and they’re getting hurt",en,False
2312485,1261757988374589440,"let me say this, yesterday i had to leave my shopping cart near my car because between me and the store’s cart return there was a man coughing up a lung, not covering his mouth and i swear i was like i cannot safely walk through that covid spray to return the cart.",en,False
2070198,1261729968943517697,"“the wearing of masks is absurd, a virus loves wet surfaces--like masks"" ""#socialdistancing is absurd, a virus can not jump 6 feet"" ""#coronavirus cannot live in the air or survive on a surface""",en,False
1485062,1261665938715394048,covid-19: why some refuse to stay home or wear masks,en,False
113669,1261460240303718405,"- now he is a doctor-hopefully he is being advised-must prove kawasaki disease which my be the result of covid is not caused by other infections i.e. flu,etc. which unmasks genetic predisposition to this disease-they may get it no matter what!!",en,False
1874464,1261708709970886659,"if this is true then the legitimacy of our shutdown and mandatory mask orders are to be seriously questioned. we know everyone's been lying, but to what extent exactly?",en,False
2338944,1261761216084676615,"i’m not a nurse, but a respiratory physio in a specialist nursing team. we are all still waiting for this ‘significant pay rise’. in the meantime we carry on working on covid frontline, working as hard as ever in challenging conditions. thank you to the public for the support ️",en,False
1392127,1261656199432470529,"the netherlands no masks less people sick and less people died, sweden less people sick less people died. stay in fear to get sick, fact is elderly and people who have a bad health can get covid-19 healthy people maybe.",en,False
2396316,1261770626810945536,"sioux city worker had warned virus was 'everywhere' at plant. he warned that coronavirus was spreading because of crowded spaces and lack of ppe, his nephew said. husen jagir, 56, died about a week after he fell ill.",en,False
2563429,1261791768154161155,at the level of coronavirus where my child put a tortilla up to her face and said “mask” ️,en,False
248843,1261481296615874561,100% of your contribution goes to supplying masks to healthcare workers — every 2 you donate sends an n95 mask to a healthcare worker. will you help?,en,False
2523837,1261786559872815105,just crossed to the other side of the street when i saw an unmasked couple walking together. they were white. they were incredulous. it's a good lesson in #racialjustice #racism #coronavirus #antiracism #raceinamerica,en,False
2433255,1261775075201691649,if this continues half the police force will catch covid 19. talk about social distancing face masks..all out of the window. prevention is better than cure.,en,False
257307,1261482383724941314,"“jeans before masks, cookies before sneeze guards: corporate america is failing workers during the pandemic”",en,False
17236,1261448354044751872,“dragonfly” washable face mask via #facemask #dragonfly #shield #protector #cover #filter #nosewire #elastic #cotton #washable #allergy #dust #womens #teenager #girls #childrens #green #white #fittedmask #coronavirus #covid-19 #quarantine,en,False
2450355,1261777214577750016,so over covid no masks,en,False
1018785,1261609545614405632,"some, erm, helpful advice for those wearing masks. for a more technical version of how to wear a mask:",en,False
2181747,1261742646734860288,i swear i was thinking the same thing when i got home yesterday!,en,False
119320,1261460956137369600,super-duper missile wow... just what the fuck we need.... if it dont kill covid or works as ppe for our docs and nurses first responders... then... send it back,en,False
971477,1261601724961378307,"not sure of any, but there was an inactive us mask factory that could have been activated within the time frame. china built 2 massive coronavirus hospitals (1,600 & 800 beds) in just over a week. clear failure of leadership in the us & failure to lead the world on this crisis.",en,False
582766,1261531268195459074,#covid got me like 6 feet bitch! #maskorpass . . #heatherminx #minxyland #model #dancer #artist #performer #gemini #denver #saferathome #kawaii #kitten #indigo #gogodancer #coloradomodel #denvermodel...,en,False
727847,1261557528191799297,"now that some restrictions in #baghdad have been lifted, the staff on the iraqi children foundation's hope buses are conducting home visits to deliver homework, ppe and to show #iraqi children how to stay safe during covid-19 pandemic. read more here:",en,False
1603638,1261680619102310402,folks that is only one county. imagine what the nationwide numbers are. we are wide open in georgia. like it never happened. other than the cnn followers wearing masks. idiots!,en,False
1593238,1261679532525981697,"this latest bill is egregious, the left hates white people so much and they can’t seem to keep the mask from sliding off during this whole pandemic. they want you dead, whitey. never forget that.",en,False
811230,1261571918706196480,compare the ppe of the person taking the coronavirus swab in south africa to the people who take swabs in the uk. the uk government have no shame,en,False
1462231,1261663526873161728,"please don’t go out without wearing a face covering, unless you are a precocious 2 year old reading this tweet!",en,False
328291,1261491484517425152,former neurosurgeon says masks are ineffective against covid-19 and can cause health problems,en,False
1023523,1261610287515516930,breaking news wearing a mask inside your home is now highly recommended. not so much to prevent covid-19 but to stop eating.,en,False
71988,1261455122036473856,"now #masks ready for your safety with your requirements like logo, colour and design...! #miketyson #boxing #champions #fight #boxinglegend #feedback #faxton_sports #covidー19",en,False
56195,1261453184557387777,"no thank you! solano county's ""suggestions"" to wear face coverings in public is only leading to a increase in deaths.",en,False
1969139,1261718908157001730,we have a governor telling people that a mask will protect you from covid? really?,en,False
2156356,1261739736512643073,"that makes zero sense. covid attacks the respiratory system, but somehow, smoking, which weakens your lungs, protects you from covid?",en,False
2329830,1261760094741594113,men are less likely to wear masks – another sign that toxic masculinity kills,en,False
293898,1261487053587410945,there have been 6 deaths in your county from covid. tell those families a mask is too much.,en,False
1555448,1261675598814097412,"just saw five police arrive with no ppe to administer narcan. got here very fast but a mask would seem at least appropriate. one to do it, four to watch, i guess.",en,False
1214229,1261636450476589056,look at the sheer number of police officers present to arrest jeremy corbyn's brother piers at hyde park corner for taking part in the lockdown protest. no masks to protect themselves or the public & the officer handling the loudspeaker piers corbyn had isn't wearing gloves. ️,en,False
2344004,1261761813890334721,19.99 for 5 kn95 with valve face masks from uk stock #facemask #facemasks #covid19uk #covid19 #covid #covidiots #covidー19 #coronavirus,en,False
1820365,1261703010696208385,"pakistan resumes domestic flights, insists on masks and empty seats",en,False
98770,1261458406054871040,"nope masks are a way to demonstrate to others your commitment to healthy practices during the pandemic.not wearing a mask is no different than hoarding food, metals during a war.of course decide: patriot or selfish... mrs. claus thinks being selfish saves u.s.; did our founders?",en,False
1076760,1261618358451142656,if you make it mandatory for all americans to take this vaccine you will lose my family's vote. these covid-19 numbers are bullshit and you know it. don't make me vote for the brain dead candidate. also enough with the dam facemasks. #nomanditoryvaccine,en,False
627028,1261539505149890560,to hell with the mask and cornkobe,en,False
102426,1261458858716921857,stay home! stay safe.. at least wear a mask and wash your hands...,en,False
1345991,1261651297108926464,"bhim dey wear gloves wey dem thick too much. make him dash the valuable small he and sarks dea, before covid 19 dem gloves thick papa but bhim comes ashiaman oooooooooo where dem valuable plenty but dem like and love am! ashiaman high tension before ooooo.",en,False
1329110,1261649472196575234,#angelamerkel #nomask #covid fury in #germany as thousands prepare to protest #coronavirus measures,en,False
255935,1261482208394711040,depraved the lot of them. these leftholes hate us. #saynotoquarantine #libertyordeath #americathehoodwinked #righteousanger #endthednc #taxcattle #nomaskofshame common sense: russia hoax impeachment b.s. now wuhan virus orchestrated by ccp & haters in d.c.,en,False
2326706,1261759717409505287,hey one of your ct employees is admitting to not adhering to coronavirus safety guidelines by not working with a mask. i recommend a company wide education before investigative journalists come looking for an easy story.,en,False
1278420,1261643812578918407,new study questions the effectiveness of masks against sars-cov-2,en,False
2538008,1261788443081916416,lol when someone totally misses the point (police -covid 19 -mask ) not rocket science,en,False
1222141,1261637393205125120,"funny how they both were ""maskless"" during early briefings, but now, with reopening imminent, the masks are in place.",en,False
1902491,1261711699264131073,"where is social distancing here!!!!? are they going to be prosecuted as putting police and everyone else at risk of covid? shouting, no masks,nothing!!!!",en,False
2124085,1261736070179254273,"oh two shoppers just casually talking about people they knew were sick due to covid-19, both of them didn’t have any mask on too. it’s a grocery store, not a place to hang out.",en,False
440762,1261507517349232640,coronavirus pandemic: true freedom- lovers wear face masks,en,False
834423,1261575945862995969,"wearing clothes in shower, for covid purposes?",en,False
226595,1261478542157602817,look at how d's enabled the spread of covid-19 in the usa and want it to continue #qanon #wearethenewsnow #factsmatter #wwg1wga #wakeupamerica #unitednotdivided #saveamerica #greatawakening,en,False
2622431,1261799574395633666,"felon caught with gun, rope, and mask released by judge over covid-19 concerns via",en,False
2307418,1261757348319649793,shopping at wal-mart today. *no one observing their stupid directional arrows. *60% or more non-employees without masks *people well inside 6' *older woman w mask pulls it down below nose to ask mrs ls about books,en,False
10192,1261447488407388161,"“6 opposition activists arrested in #cameroon for distributing face masks & disinfectant gel, their lawyers & said friday”. eh camer! even inside #covid19 we get opposition. hopefully covid respects itself & doesn’t befriend the opposition",en,False
735746,1261558850790055936,& his crazy lunatic bunch! should be a weekend of nonsense & full on ass kissing which will result in absolutely nothing! great expenditure of tax payers money. hope no one brings covid-19 with them because you know masks won't be required. that would be a shame!,en,False
538594,1261523270169440256,"healthcare workers facing covid-19 are doing their jobs under extraordinary levels of stress. but as teams find themselves unable to protect themselves with ppes like masks and gowns, job performance may suffer. #covid19 #healthnews",en,False
849512,1261578686547079169,"wow! lots in that article right? as a fellow american, let’s unpack just a few points of it together. canada and the ppe and justin acting like the petulant child that he is. as of today the us is reporting 88,700k covid deaths while canada has had 5500. (1)",en,False
2298162,1261756236070039552,"#ppeshortage #ppe #trumpvirus #coverup may 16: trump admin accused of ‘seizing’ 50,000 n95 respirators intended for medical workers by masks for america masks seized: unprecedented federal interference",en,False
2396555,1261770653365084161,dear can you please explain how a face mask works in stores where everyone and their dog has handled the merchandise? i’ll wait. #overit,en,False
2345775,1261762037996302340,i've been trying not to scream out with this bad back of mine... just in case the neighbours hear and think it's murder... but the odd scream between doses o painkillers slips out! should i let it all out or muffle it with a covid mask?!!! going slowly mad!!,en,False
2414851,1261772863662678020,given that sars and mers were both covid viruses and the running of cygnus in 2016 to see the effects of a virus that affects the respiratory system and is passed in a manner similar to covid 19 your analogy is absolute garbage.,en,False
37992,1261450915136954368,"new q, the first of many... texas doctor explains how hcq (treament/cure) improves covid-19 patients in 5 hours #qanon #wearethenewsnow #factsmatter #wwg1wga #wakeupamerica #unitednotdivided #saveamerica #greatawakening",en,False
22285,1261448973266501633,", is a serious spreader of #covid. it should be shut down now. printers & distributors have #covid. delivery people touch papers when folding & wrapping. do they have masks at 4:00 am? yawn? sneeze? delivery to subscribers who are old!",en,False
152037,1261469796249419777,"a buddhist temple in pathum thani, just outside #bangkok, has adorned its #buddha statue with a face mask to remind passersby to wear a mask when they venture outdoors. #coronavirus",en,False
2304146,1261756947805753344,"the coronavirus can spread through the eyes, so to avoid touching them it’s best to wear glasses for now.",en,False
2105494,1261733924734005248,coronavirus: how face masks are becoming fashionable,en,False
682223,1261549702908203008,"good day friends. let us obey our doctors. wash our hands, maintain social distance and wear a mask. we should save lives. #covid-19 #staysafe #stayathome",en,False
244248,1261480718154248193,"covid hits the wh. there are no mask or ventilators available. trumps lies and stupidity have caused the death 87,000 americans. trump says americans are warriors, it's no big deal if they die, their sacrifice is to save the economy",en,False
1952580,1261717129742749696,"gop cannot fathom the logic. open early, no social distance, no masks, bear the consequences. trump base getting wiped.",en,False
1999031,1261722149980647430,"i’d never wait in line to get into any store...and i’ll never wear a mask, unless required in a medical facility. this is total insanity! ya...why didn’t a walmart-covid breakout happen? walmart’s were packed, along w/ menards & a few others this entire time. it’s all such bs!",en,False
2483259,1261781330020401152,virologist hospitalized with coronavirus believes he was infected through eyes because he was wearing mask #news,en,False
618302,1261537857648201734,"don’t play around with coronavirus. 1.4 million u.s. cases, 87,000 deaths. you never know when it’s coming for you. be safe, wash your hands, wear your mask, 6ft social distancing is necessary. period.",en,False
73675,1261455341453062144,i went for my covid-19 tuesday. seeing the 2 guys testing every one in full ppe was another reality check. i’m at home for the long haul.,en,False
427531,1261505520294416391,"ok blame trump for 40k deaths! over past 3 wks, states have been supplied with ppe, ventilators, beds, etc! stay home inforced! yet 40k more died? mainly in dem states! blame trump or the gov’s in ny, il, nj, pa, etc who sent covid positive back to nursing homes to kill others?",en,False
2031167,1261725641923334145,"man drives 530 miles to deliver n95 masks to his sister, a nurse at a covid-19 hospital in north carolina:",en,False
569816,1261528836178616322,"buddy you think the coronavirus isn’t real and that wearing skinny jeans will give you aids, crawl back to fox news and fuck off. also take out the catholic in your bio because you clearly don’t know shit about the bible or what it preaches.",en,False
1656059,1261686020858236928,"not population density alone that determines spread of #covid19. orange & los angeles counties are adjacent. orange has a higher population density than la co, but la co has been much more restrictive than orange -- la beaches closed, masks required...",en,False
688569,1261550861429456896,haha i’m stressing so much about this dumb ap test i have to take next week and if this happens i will go on a rampage i swear,en,False
683712,1261549970567516161,covid mask ruthless valley,en,False
2087871,1261731954480865283,interested in mask making? you really need to read this guide to the best materials to use! #covid19 #wearamask #masks4all #stayathome #masks4docs #mymasksaveslives #covid_19 #masks4alluk #literacy,en,False
2433106,1261775058151899143,trump bashes reporter rattled by maskless anti-lockdown protester,en,False
2018918,1261724309925646336,"mandatory face masks for passengers, workers starts monday at pittsburgh airport (via wkbn 27 first news)",en,False
2169725,1261741261289132034,"sure, that's why docs and nurses who wear masks for 12-14hours are dropping, because of co2 narcosis. idiot.",en,False
1525155,1261672469905248256,disheartening situation of the pandemic. dr sudhakar - landed in this situation after questioning the govt response of covid-19 to provide ppe & masks.,en,False
309068,1261489000755261440,"""pro-maskers"", ""antimaskers"". was bit caught in an are, realizing these are legitimate terms in us contemporary discourse on covid19.",en,False
1171277,1261631220544389121,the clinical guidance resources are available online #weareicu #covid19 #esicmtv,en,False
1941996,1261715976242057219,"where's the panic? (apart from the few at the beginning who thought covid gave you dysentery) we are told to social distance, wash hands regularly, wear a face covering in enclosed spaces. i have not seen one person 'panicking'.",en,False
2563637,1261791793324199936,"trump is getting americans killed because he encourages racism, violence, disobeying stay at orders, not wearing masks ... he is not making america great",en,False
353505,1261494877055041538,i swear we as floridians are so ignorant sometimes. leveling off because of the restrictions we put in place. yall seriously think the downward trend will remain after opening shit back up and its honestly just sad,en,False
901232,1261589632145293313,"yes 1 case certainly: suo moto #pil in march on #covid-led closure of #midday #meals in #schools this, however, can't mask absence of urgency in giving rapid-fire directives to govts to protect #righttolife of #migrantsontheroad i feel ashamed as my daily #5qs to pm hv failed",en,False
2289470,1261755201456951296,any idiot that goes about with a silly mask on his face should be boiled in his own pudding and buried with a stake of holly through his heart. #coronavirus #moronavirus,en,False
1763026,1261697010790359041,all you gd idiots in santa clarita who are out and not wearing masks f you!!!!!! put a mask on i wanna smack you all in the face but i’m staying way more than 6ft away from you all!! #coronavirus #wearamask !!!!!!!!!,en,False
2114103,1261734932273119232,"t&t is being told to sanitise, wear masks and stay away from others. more here",en,False
1163431,1261630234060881922,"#aatmanirbharbharat when the covid-19 crisis started not even a single ppe kit was manufactured in india, only a few n95 masks were available. today 2 lakh ppe kits and 2 lakh n95 masks are manufactured in india daily. via namo app",en,False
1367089,1261653550435676160,india: truck crash kills 23 workers going home amid lockdown desitimes #dontdrinkbleach #thedesitimes #killervirus #montysaiyed #coronavirus #staysafe #stayhomeorder #wearmask #india,en,False
1014168,1261608808067018752,most people with covid -19 may not show any signs but can still spread the diseases. protect yourself : stay 2 metres away from the next person and use a mask.,en,False
2316165,1261758437597351943,like who kids finna roam the streets eating shit a stranger just handed them bruh if this covid shit is a play i swear they won,en,False
2549515,1261789917983715329,nice to see #police today in #hydeparkprotest following #government guidelines with #social_distancing yeah right i've never seen so many police right on each no 2 metres apart like you are meant to where are there face masks? no good wearing gloves that won't protect you! #covid,en,False
828552,1261574921110589441,"16 days after first getting symptoms of covid-19 & while i’m getting there, full recovery is slow, every day is a blessing! today is first day i’ve woke up not in pain so wearing my harry potter socks because gryffindors are determined & we will beat this! #gryffindor",en,False
